Customer_ID,Company_Name,Location,Business_Size,Industry_Type,Bounce_Rate,Time_Spent,Annual_Revenue,Website_Visits
f5d4752f,Williams LLC,Berlin,Small,Electronics,68.83,7.67,132557,4155
fcf03ddb,Castillo LLC,Lisbon,Large,Home Decor,35.59,6.04,792287,9444
45fc095f,Ross LLC,Rome,Small,Groceries,27.27,13.14,129374,7519
3b1d5326,Russell Ltd,Berlin,Medium,Home Decor,39.51,8.15,384321,3569
5e559e57,"Hill, Foster and Orr",Amsterdam,Large,Home Decor,47.83,14.39,955218,6491
4651d8c3,Williams PLC,Rome,Medium,Health,54.3,12.88,187405,3592
74ff2531,Mathews-Martinez,Berlin,Medium,Electronics,38.81,10.14,290233,13958
97602f2d,"West, Howard and Brooks",Madrid,Medium,Home Decor,64.87,8.29,386081,14565
7c17b756,"Adams, Green and Wade",Berlin,Small,Fashion,27.5,4.28,82983,3623
498c7ad4,Walker Ltd,Paris,Small,Groceries,26.18,1.89,112021,18971
685d33d9,Walker-Ellison,Dublin,Small,Groceries,51.44,14.94,63622,9600
64932d78,Bush PLC,Berlin,Small,Groceries,38.56,4.46,87247,15521
aa78a435,Rivera-Parker,Berlin,Small,Health,70.31,1.4,136972,12692
ebd9e6a8,Riley-Buck,Rome,Medium,Groceries,78.5,8.57,292824,18974
f64919c9,Jenkins Inc,Lisbon,Small,Health,30.62,9.37,132712,19480
5c9608f3,Daniels-Bell,Amsterdam,Large,Health,38.58,5.86,782942,8442
7a634198,"Morris, Cruz and Rhodes",London,Medium,Home Decor,41.95,4.64,309160,1345
496cfa95,Johnson-Nichols,Dublin,Large,Electronics,40.63,7.57,504361,17119
a89c7f3f,"Gallegos, Ware and Bailey",Lisbon,Medium,Fashion,65.95,12.17,463002,8576
b196befb,"Glover, Hughes and Petersen",Dublin,Large,Home Decor,31.31,13.35,729170,13935
80195b6c,Harris and Sons,Paris,Small,Groceries,69.71,4.09,60382,14835
86d569ba,"Steele, Reyes and Love",Paris,Large,Health,68.45,10.58,649253,18430
eec9d703,"Wong, Roberts and Gross",Madrid,Medium,Electronics,71.21,3.55,301832,4616
edee663b,"Vargas, Dunn and Payne",Lisbon,Large,Groceries,36.33,9.72,598456,11506
e982c054,"Green, Gutierrez and Walker",Dublin,Small,Fashion,78.18,1.31,63405,10244
03f21584,Hernandez-Miller,Madrid,Small,Groceries,63.63,4.26,69750,1482
a0cdc529,"Gross, Rodriguez and Stevens",Lisbon,Small,Home Decor,45.21,12.0,115325,13169
123eb13d,Gonzalez-Tate,Lisbon,Large,Fashion,39.81,12.81,998936,5787
7a84999c,"Johnson, Wells and Wilkins",Dublin,Medium,Groceries,24.28,7.58,250765,9194
ae49df80,"Roberts, Silva and West",Amsterdam,Small,Fashion,78.48,11.01,100436,15514
4157f6d3,Bartlett and Sons,Paris,Large,Fashion,31.95,11.29,549263,18076
a4c26162,Peck-Gray,Paris,Medium,Groceries,60.89,5.37,319379,6197
